"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.981024582E-1,1.657158920E1,-1.372495880E1,1.004665787E1
8.080554584E-1,1.961550934E1,-1.289628204E1,1.131033005E1
8.180074582E-1,2.113889145E1,-1.086545517E1,1.139714951E1
8.279594583E-1,2.078338074E1,-9.560319214E0,1.022239243E1
8.379114582E-1,1.893532379E1,-8.688232727E0,8.669222260E0
8.478634583E-1,1.678115341E1,-8.848848724E0,7.955356750E0
8.578154582E-1,1.566133209E1,-9.634115753E0,8.581953735E0
8.677674583E-1,1.513592468E1,-9.723330231E0,9.904154205E0
8.777194582E-1,1.474299179E1,-9.185348969E0,1.061352905E1
8.876714583E-1,1.467832626E1,-8.317154388E0,9.855804749E0
8.976234582E-1,1.507694733E1,-7.329657898E0,7.807763672E0
9.075754583E-1,1.620709717E1,-6.495143280E0,5.855673065E0
9.175274582E-1,1.742945526E1,-5.762416992E0,4.550686798E0
9.274794583E-1,1.792492493E1,-4.862189026E0,3.539838867E0
9.374314584E-1,1.772524017E1,-4.351900177E0,3.088377686E0
9.473834583E-1,1.803374863E1,-4.146227875E0,3.133284302E0
9.573354584E-1,1.831875595E1,-3.966451721E0,3.769760742E0
9.672874582E-1,1.834165833E1,-3.932622070E0,4.653522949E0
9.772394584E-1,1.926119614E1,-4.001927948E0,5.449118500E0
9.871914582E-1,2.085059097E1,-3.727398834E0,5.784720612E0
9.971444583E-1,2.087738525E1,-2.974165192E0,6.045178986E0
1.007096458E0,2.016965698E1,-1.402882690E0,4.541855164E0
1.017048458E0,1.957494370E1,1.711540833E0,9.053173828E-1
1.027000458E0,2.066392914E1,3.403921509E-1,-1.750908966E0
1.036952458E0,2.011038025E1,-3.828887787E0,-3.078348541E0
1.046904458E0,1.569441330E1,-4.576283569E0,-2.769690399E0
1.056856458E0,1.079270645E1,-4.977748718E0,-1.944157104E0
1.066808458E0,7.339237976E0,-5.839656372E0,-2.167492676E0
1.076760458E0,6.088738403E0,-7.433541870E0,-2.668051758E0
1.086712458E0,4.845124512E0,-8.637338562E0,-1.240021362E0
1.096664458E0,3.380570068E0,-8.917705536E0,-5.352868652E-1
1.106616458E0,2.672243042E0,-9.323960724E0,-1.298549652E0
1.116568458E0,2.761906586E0,-9.867031403E0,-3.067121887E-1
1.126520458E0,3.199596405E0,-9.386231232E0,2.094594269E0
1.136472458E0,6.012846222E0,-9.446705475E0,4.617447968E0
1.146424458E0,7.865244141E0,-1.001387604E1,3.728746033E0
1.156376458E0,7.746241608E0,-1.012135254E1,2.471211090E0
1.166328458E0,7.032675476E0,-1.021670425E1,5.943390656E0
1.176281458E0,5.281467133E0,-1.074660233E1,7.553741913E0
1.186233458E0,4.193828888E0,-1.024394760E1,8.316106567E0
1.196185458E0,3.126099243E0,-1.032163605E1,7.182513885E0
1.206137458E0,4.041296082E0,-1.018452118E1,4.634512482E0
1.216089458E0,5.990841980E0,-1.147813110E1,5.032684479E0
1.226041458E0,3.382216644E0,-1.031265472E1,5.248685303E0
1.235993458E0,1.768123169E0,-7.096891937E0,3.858975220E-1
1.245945458E0,4.554578705E0,-6.930887146E0,-2.725831604E0
1.255897458E0,6.222260742E0,-8.288114777E0,-1.410666504E0
1.265849458E0,4.579427032E0,-8.049361267E0,7.990383911E-1
1.275801458E0,3.462599487E0,-8.467741241E0,1.820963287E0
1.285753458E0,4.824317780E0,-8.046068115E0,3.065774689E0
1.295705458E0,3.147055664E0,-9.848320312E0,3.283721466E0
1.305657458E0,3.785328369E0,-9.123826904E0,3.072061615E0
